date,district,source,value
2021-10-22 15:55:25,Northern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 15:55:25,Southern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 15:55:25,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 15:55:25,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 15:55:25,Southern District,Bouquet Reservoir Elevation,2982.9
2021-10-22 15:55:25,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 15:55:25,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 15:55:25,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 15:55:25,Southern Owens Valley,LAA at Alabama Water Temp,55.8
2021-10-22 15:55:25,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 15:55:25,Southern Owens Valley,LAA at Cotton. Water Temp,56.2
2021-10-22 15:55:25,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 15:55:25,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 15:55:25,Northern Owens Valley,Pleasant Valley Elevation,4389.0
2021-10-22 15:55:25,Long Valley,Long Valley Elevation,6757.5
2021-10-22 16:10:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:10:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:10:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 16:10:23,Southern District,LAA #2 Flow at Fairmont Res.,49.1
2021-10-22 16:10:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 16:10:23,Southern District,Bouquet Reservoir Outflow,50.2
2021-10-22 16:10:23,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 16:10:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-22 16:10:23,Mono Basin,Lee Vining Intake Above Flow,19.5
2021-10-22 16:10:23,Mono Basin,Lee Vining Intake Below Flow,20.3
2021-10-22 16:10:23,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2021-10-22 16:10:23,Mono Basin,L.V. Conduit Below Intake Flow,0.5
2021-10-22 16:10:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-22 16:10:23,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2021-10-22 16:10:23,Mono Basin,Parker Ck. Above Conduit Flow,3.0
2021-10-22 16:10:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-22 16:10:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.6
2021-10-22 16:10:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-22 16:10:23,Mono Basin,Rush Ck. at Damsite Flow,6.4
2021-10-22 16:10:23,Mono Basin,Flow to West Portal,58.8
2021-10-22 16:10:23,Southern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:10:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.4
2021-10-22 16:10:23,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-22 16:10:23,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 16:10:23,Southern Owens Valley,LAA at Alabama Water Temp,56.2
2021-10-22 16:10:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-22 16:10:23,Southern Owens Valley,LAA at Cottonwood Flow,325.0
2021-10-22 16:10:23,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 16:10:23,Southern Owens Valley,LAA at Cotton. Water Temp,56.2
2021-10-22 16:10:23,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 16:10:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:10:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:10:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-22 16:10:23,Southern Owens Valley,Lubkin Spillgate Outflow,2.4
2021-10-22 16:10:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-22 16:10:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.0
2021-10-22 16:10:23,Northern Owens Valley,Pleasant Valley Outflow,169.9
2021-10-22 16:10:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-22 16:10:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.2
2021-10-22 16:10:23,Northern Owens Valley,O.R. Below Big Pine,203.0
2021-10-22 16:10:23,Northern Owens Valley,Fish Springs At RR Flow,37.7
2021-10-22 16:10:23,Northern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:10:23,Northern Owens Valley,Bishop Creek Through Plant 6,41.8
2021-10-22 16:10:23,Northern Owens Valley,Bishop Creek Around Plant 6,1.6
2021-10-22 16:10:23,Lower Owens River Project,LORP Intake Flow,46.0
2021-10-22 16:10:23,Lower Owens River Project,LORP at Mazourka Canyon Road,46.0
2021-10-22 16:10:23,Lower Owens River Project,LORP at Reinhackle Springs,44.0
2021-10-22 16:10:23,Lower Owens River Project,LORP Above Pumpstation,53.0
2021-10-22 16:10:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2021-10-22 16:10:23,Long Valley,East Portal Flow,71.0
2021-10-22 16:10:23,Long Valley,OR Below EP Flow,117.0
2021-10-22 16:10:23,Long Valley,Hot Ck.at Hwy. Flow,4.0
2021-10-22 16:10:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-22 16:10:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-22 16:10:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-22 16:10:23,Long Valley,Upper Gorge Total Release,13.0
2021-10-22 16:10:23,Long Valley,Release at Middle Gorge,0.0
2021-10-22 16:10:24,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:10:24,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 16:10:24,Southern District,Bouquet Reservoir Elevation,2982.9
2021-10-22 16:10:24,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 16:10:24,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 16:10:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:10:24,Northern Owens Valley,Pleasant Valley Elevation,4388.9
2021-10-22 16:10:24,Long Valley,Long Valley Elevation,6757.5
2021-10-22 16:25:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:25:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:25:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 16:25:23,Southern District,LAA #2 Flow at Fairmont Res.,49.1
2021-10-22 16:25:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 16:25:23,Southern District,Bouquet Reservoir Outflow,50.2
2021-10-22 16:25:23,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 16:25:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-22 16:25:23,Mono Basin,Lee Vining Intake Above Flow,19.5
2021-10-22 16:25:23,Mono Basin,Lee Vining Intake Below Flow,20.3
2021-10-22 16:25:23,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2021-10-22 16:25:23,Mono Basin,L.V. Conduit Below Intake Flow,0.5
2021-10-22 16:25:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-22 16:25:23,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2021-10-22 16:25:23,Mono Basin,Parker Ck. Above Conduit Flow,3.0
2021-10-22 16:25:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-22 16:25:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.6
2021-10-22 16:25:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-22 16:25:23,Mono Basin,Rush Ck. at Damsite Flow,6.4
2021-10-22 16:25:23,Mono Basin,Flow to West Portal,58.8
2021-10-22 16:25:23,Southern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:25:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.4
2021-10-22 16:25:23,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-22 16:25:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-22 16:25:23,Southern Owens Valley,LAA at Cottonwood Flow,324.0
2021-10-22 16:25:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:25:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:25:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-22 16:25:23,Southern Owens Valley,Lubkin Spillgate Outflow,12.6
2021-10-22 16:25:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-22 16:25:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.0
2021-10-22 16:25:23,Northern Owens Valley,Pleasant Valley Outflow,169.9
2021-10-22 16:25:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-22 16:25:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.2
2021-10-22 16:25:23,Northern Owens Valley,O.R. Below Big Pine,204.2
2021-10-22 16:25:23,Northern Owens Valley,Fish Springs At RR Flow,37.7
2021-10-22 16:25:23,Northern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:25:23,Northern Owens Valley,Bishop Creek Through Plant 6,41.8
2021-10-22 16:25:23,Northern Owens Valley,Bishop Creek Around Plant 6,1.6
2021-10-22 16:25:23,Lower Owens River Project,LORP Intake Flow,46.0
2021-10-22 16:25:23,Lower Owens River Project,LORP at Mazourka Canyon Road,46.0
2021-10-22 16:25:23,Lower Owens River Project,LORP at Reinhackle Springs,44.0
2021-10-22 16:25:23,Lower Owens River Project,LORP Above Pumpstation,43.0
2021-10-22 16:25:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,35.0
2021-10-22 16:25:23,Long Valley,East Portal Flow,71.0
2021-10-22 16:25:23,Long Valley,OR Below EP Flow,117.0
2021-10-22 16:25:23,Long Valley,Hot Ck.at Hwy. Flow,4.0
2021-10-22 16:25:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-22 16:25:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-22 16:25:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-22 16:25:23,Long Valley,Upper Gorge Total Release,13.0
2021-10-22 16:25:23,Long Valley,Release at Middle Gorge,0.0
2021-10-22 16:25:24,Northern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 16:25:24,Southern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 16:25:24,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:25:24,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 16:25:24,Southern District,Bouquet Reservoir Elevation,2982.8
2021-10-22 16:25:24,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 16:25:24,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 16:25:24,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 16:25:24,Southern Owens Valley,LAA at Alabama Water Temp,56.2
2021-10-22 16:25:24,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 16:25:24,Southern Owens Valley,LAA at Cotton. Water Temp,56.4
2021-10-22 16:25:24,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 16:25:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:25:24,Northern Owens Valley,Pleasant Valley Elevation,4388.9
2021-10-22 16:25:24,Long Valley,Long Valley Elevation,6757.5
2021-10-22 16:40:23,Mono Basin,Lee Vining Intake Above Flow,19.5
2021-10-22 16:40:23,Mono Basin,Lee Vining Intake Below Flow,20.3
2021-10-22 16:40:23,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 16:40:23,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2021-10-22 16:40:23,Mono Basin,L.V. Conduit Below Intake Flow,0.5
2021-10-22 16:40:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-22 16:40:23,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2021-10-22 16:40:23,Mono Basin,Parker Ck. Above Conduit Flow,3.0
2021-10-22 16:40:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-22 16:40:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.6
2021-10-22 16:40:23,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 16:40:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-22 16:40:23,Mono Basin,Rush Ck. at Damsite Flow,6.4
2021-10-22 16:40:23,Mono Basin,Flow to West Portal,58.8
2021-10-22 16:40:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.0
2021-10-22 16:40:23,Northern Owens Valley,Pleasant Valley Elevation,4388.9
2021-10-22 16:40:23,Northern Owens Valley,Pleasant Valley Outflow,169.9
2021-10-22 16:40:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-22 16:40:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.2
2021-10-22 16:40:23,Northern Owens Valley,O.R. Below Big Pine,204.7
2021-10-22 16:40:23,Northern Owens Valley,Fish Springs At RR Flow,37.7
2021-10-22 16:40:23,Northern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:40:23,Northern Owens Valley,Bishop Creek Through Plant 6,41.8
2021-10-22 16:40:23,Northern Owens Valley,Bishop Creek Around Plant 6,1.6
2021-10-22 16:40:23,Lower Owens River Project,LORP Intake Flow,46.0
2021-10-22 16:40:23,Lower Owens River Project,LORP at Mazourka Canyon Road,46.0
2021-10-22 16:40:23,Lower Owens River Project,LORP at Reinhackle Springs,44.0
2021-10-22 16:40:23,Lower Owens River Project,LORP Above Pumpstation,44.0
2021-10-22 16:40:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-10-22 16:40:23,Southern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:40:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.4
2021-10-22 16:40:23,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-22 16:40:23,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 16:40:23,Southern Owens Valley,LAA at Alabama Water Temp,56.2
2021-10-22 16:40:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-22 16:40:23,Southern Owens Valley,LAA at Cottonwood Flow,324.0
2021-10-22 16:40:23,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 16:40:23,Southern Owens Valley,LAA at Cotton. Water Temp,56.3
2021-10-22 16:40:23,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 16:40:23,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:40:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:40:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:40:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-22 16:40:23,Southern Owens Valley,Lubkin Spillgate Outflow,9.7
2021-10-22 16:40:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-22 16:40:23,Long Valley,East Portal Flow,71.0
2021-10-22 16:40:23,Long Valley,OR Below EP Flow,117.0
2021-10-22 16:40:23,Long Valley,Hot Ck.at Hwy. Flow,4.0
2021-10-22 16:40:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-22 16:40:23,Long Valley,Long Valley Elevation,6757.5
2021-10-22 16:40:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-22 16:40:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-22 16:40:23,Long Valley,Upper Gorge Total Release,13.0
2021-10-22 16:40:23,Long Valley,Release at Middle Gorge,0.0
2021-10-22 16:40:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:40:23,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:40:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:40:23,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 16:40:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 16:40:23,Southern District,LAA #2 Flow at Fairmont Res.,49.1
2021-10-22 16:40:23,Southern District,Bouquet Reservoir Elevation,2982.8
2021-10-22 16:40:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 16:40:23,Southern District,Bouquet Reservoir Outflow,51.6
2021-10-22 16:40:23,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 16:40:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-22 16:55:24,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:55:24,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:55:24,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 16:55:24,Southern District,LAA #2 Flow at Fairmont Res.,49.1
2021-10-22 16:55:24,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 16:55:24,Southern District,Bouquet Reservoir Outflow,30.0
2021-10-22 16:55:24,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 16:55:24,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-22 16:55:24,Mono Basin,Lee Vining Intake Above Flow,19.5
2021-10-22 16:55:24,Mono Basin,Lee Vining Intake Below Flow,20.3
2021-10-22 16:55:24,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2021-10-22 16:55:24,Mono Basin,L.V. Conduit Below Intake Flow,0.5
2021-10-22 16:55:24,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-22 16:55:24,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2021-10-22 16:55:24,Mono Basin,Parker Ck. Above Conduit Flow,3.0
2021-10-22 16:55:24,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-22 16:55:24,Mono Basin,Mono Gate 1 Return Ditch Flow,27.6
2021-10-22 16:55:24,Mono Basin,Grant Lk. Outflow,91.8
2021-10-22 16:55:24,Mono Basin,Rush Ck. at Damsite Flow,6.4
2021-10-22 16:55:24,Mono Basin,Flow to West Portal,58.8
2021-10-22 16:55:24,Southern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:55:24,Southern Owens Valley,Indep. Ck. At Junction Flow,1.4
2021-10-22 16:55:24,Southern Owens Valley,LAA at Alabama Flow,273.0
2021-10-22 16:55:24,Southern Owens Valley,LAA at Alabama Water Temp,56.2
2021-10-22 16:55:24,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-22 16:55:24,Southern Owens Valley,LAA at Cottonwood Flow,323.0
2021-10-22 16:55:24,Southern Owens Valley,LAA at Cotton. Water Temp,56.3
2021-10-22 16:55:24,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-22 16:55:24,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-22 16:55:24,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-22 16:55:24,Southern Owens Valley,Lubkin Spillgate Outflow,6.9
2021-10-22 16:55:24,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-22 16:55:24,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.0
2021-10-22 16:55:24,Northern Owens Valley,Pleasant Valley Outflow,169.8
2021-10-22 16:55:24,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-22 16:55:24,Northern Owens Valley,Big Pine Ck. USGS Flow,14.2
2021-10-22 16:55:24,Northern Owens Valley,O.R. Below Big Pine,204.7
2021-10-22 16:55:24,Northern Owens Valley,Fish Springs At RR Flow,38.5
2021-10-22 16:55:24,Northern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 16:55:24,Northern Owens Valley,Bishop Creek Through Plant 6,41.8
2021-10-22 16:55:24,Northern Owens Valley,Bishop Creek Around Plant 6,1.6
2021-10-22 16:55:24,Lower Owens River Project,LORP Intake Flow,46.0
2021-10-22 16:55:24,Lower Owens River Project,LORP at Mazourka Canyon Road,46.0
2021-10-22 16:55:24,Lower Owens River Project,LORP at Reinhackle Springs,45.0
2021-10-22 16:55:24,Lower Owens River Project,LORP Above Pumpstation,44.0
2021-10-22 16:55:24,Lower Owens River Project,LORP At Pump Station Discharge Flow,34.0
2021-10-22 16:55:24,Long Valley,East Portal Flow,71.0
2021-10-22 16:55:24,Long Valley,OR Below EP Flow,117.0
2021-10-22 16:55:24,Long Valley,Hot Ck.at Hwy. Flow,4.0
2021-10-22 16:55:24,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-22 16:55:24,Long Valley,Long Valley Current Outflow,0.1
2021-10-22 16:55:24,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-22 16:55:24,Long Valley,Upper Gorge Total Release,12.9
2021-10-22 16:55:24,Long Valley,Release at Middle Gorge,0.0
2021-10-22 16:55:25,Northern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 16:55:25,Southern Owens Valley,Tinemaha Elevation,3865.4
2021-10-22 16:55:25,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:55:25,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 16:55:25,Southern District,Bouquet Reservoir Elevation,2982.8
2021-10-22 16:55:25,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 16:55:25,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 16:55:25,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 16:55:25,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 16:55:25,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 16:55:25,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 16:55:25,Northern Owens Valley,Pleasant Valley Elevation,4388.9
2021-10-22 16:55:25,Long Valley,Long Valley Elevation,6757.5
2021-10-22 17:10:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 17:10:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 17:10:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 17:10:23,Southern District,LAA #2 Flow at Fairmont Res.,49.1
2021-10-22 17:10:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 17:10:23,Southern District,Bouquet Reservoir Outflow,35.0
2021-10-22 17:10:23,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 17:10:23,Southern District,LAA #2 at Soledad Flow,0.0
2021-10-22 17:10:23,Mono Basin,Lee Vining Intake Above Flow,19.5
2021-10-22 17:10:23,Mono Basin,Lee Vining Intake Below Flow,20.3
2021-10-22 17:10:23,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2021-10-22 17:10:23,Mono Basin,L.V. Conduit Below Intake Flow,0.5
2021-10-22 17:10:23,Mono Basin,Walker Ck. Under Conduit Flow,2.0
2021-10-22 17:10:23,Mono Basin,Parker Ck. Under Conduit Flow,3.0
2021-10-22 17:10:23,Mono Basin,Parker Ck. Above Conduit Flow,3.0
2021-10-22 17:10:23,Mono Basin,Grant Lk. Spill Flow,0.0
2021-10-22 17:10:23,Mono Basin,Mono Gate 1 Return Ditch Flow,27.6
2021-10-22 17:10:23,Mono Basin,Grant Lk. Outflow,91.8
2021-10-22 17:10:23,Mono Basin,Rush Ck. at Damsite Flow,6.4
2021-10-22 17:10:23,Mono Basin,Flow to West Portal,58.8
2021-10-22 17:10:23,Southern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 17:10:23,Southern Owens Valley,Indep. Ck. At Junction Flow,1.4
2021-10-22 17:10:23,Southern Owens Valley,LAA at Alabama Flow,272.0
2021-10-22 17:10:23,Southern Owens Valley,Cottonwood Ck. At LAA Flow,0.0
2021-10-22 17:10:23,Southern Owens Valley,LAA at Cottonwood Flow,323.0
2021-10-22 17:10:23,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2021-10-22 17:10:23,Southern Owens Valley,Haiwee LAA #2 Current Flow,0.0
2021-10-22 17:10:23,Southern Owens Valley,Reinhackel Flow,1.7
2021-10-22 17:10:23,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2021-10-22 17:10:23,Southern Owens Valley,Cartago Spillgate Outflow,60.3
2021-10-22 17:10:23,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,33.0
2021-10-22 17:10:23,Northern Owens Valley,Pleasant Valley Outflow,169.8
2021-10-22 17:10:23,Northern Owens Valley,Baker Ck. At LA Station Flow,4.4
2021-10-22 17:10:23,Northern Owens Valley,Big Pine Ck. USGS Flow,14.2
2021-10-22 17:10:23,Northern Owens Valley,O.R. Below Big Pine,204.7
2021-10-22 17:10:23,Northern Owens Valley,Fish Springs At RR Flow,38.5
2021-10-22 17:10:23,Northern Owens Valley,Tinemaha Reservoir Outflow,310.4
2021-10-22 17:10:23,Northern Owens Valley,Bishop Creek Through Plant 6,41.8
2021-10-22 17:10:23,Northern Owens Valley,Bishop Creek Around Plant 6,1.6
2021-10-22 17:10:23,Lower Owens River Project,LORP Intake Flow,46.0
2021-10-22 17:10:23,Lower Owens River Project,LORP at Mazourka Canyon Road,47.0
2021-10-22 17:10:23,Lower Owens River Project,LORP at Reinhackle Springs,45.0
2021-10-22 17:10:23,Lower Owens River Project,LORP Above Pumpstation,56.0
2021-10-22 17:10:23,Lower Owens River Project,LORP At Pump Station Discharge Flow,47.0
2021-10-22 17:10:23,Long Valley,East Portal Flow,71.0
2021-10-22 17:10:23,Long Valley,OR Below EP Flow,117.0
2021-10-22 17:10:23,Long Valley,Hot Ck.at Hwy. Flow,4.0
2021-10-22 17:10:23,Long Valley,McGee Ck. Lower Sta. Flow,5.4
2021-10-22 17:10:23,Long Valley,Long Valley Current Outflow,0.1
2021-10-22 17:10:23,Long Valley,Rock Ck. Div. Flow,135.9
2021-10-22 17:10:23,Long Valley,Upper Gorge Total Release,12.9
2021-10-22 17:10:23,Long Valley,Release at Middle Gorge,0.0
2021-10-22 17:10:24,Southern District,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 17:10:24,Southern District,Fairmont Reservoir Elevation,3015.7
2021-10-22 17:10:24,Southern District,Bouquet Reservoir Elevation,2982.8
2021-10-22 17:10:24,Mono Basin,Mono Lk. Elevation,6379.3
2021-10-22 17:10:24,Mono Basin,Grant Lk. Elevation,7099.7
2021-10-22 17:10:24,Southern Owens Valley,LAA at Alabama Level,6.8
2021-10-22 17:10:24,Southern Owens Valley,LAA at Alabama Water Temp,56.4
2021-10-22 17:10:24,Southern Owens Valley,LAA at Cottonwood Level,9.2
2021-10-22 17:10:24,Southern Owens Valley,LAA at Cotton. Water Temp,56.3
2021-10-22 17:10:24,Southern Owens Valley,N. Haiwee Elevation,3756.8
2021-10-22 17:10:24,Southern Owens Valley,S. Haiwee Reservoir Elevation,3723.4
2021-10-22 17:10:24,Northern Owens Valley,Pleasant Valley Elevation,4388.9
2021-10-22 17:10:24,Long Valley,Long Valley Elevation,6757.5
2021-10-22 17:25:23,Southern District,Haiwee LAA #2 Current Flow,0.0
2021-10-22 17:25:23,Southern District,Haiwee LAA #1 Current Flow,0.0
2021-10-22 17:25:23,Southern District,LAA #1 Flow at Fairmont Reservoir,0.5
2021-10-22 17:25:23,Southern District,LAA #2 Flow at Fairmont Res.,48.8
2021-10-22 17:25:23,Southern District,Bouquet Reservoir Inflow,0.3
2021-10-22 17:25:23,Southern District,Bouquet Reservoir Outflow,30.1
2021-10-22 17:25:23,Southern District,LAA #1 at Soledad Flow,16.2
2021-10-22 17:25:23,Southern District,LAA #2 at Soledad Flow,0.0
